kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
10797460,K00752.01,Kepler-227 b,2,1,1.0,9.48803557,170.53875,0.146,2.9575,615.8,2.26,793.0,93.59,35.8,1.0,q1_q17_dr25_tce,5455.0,4.467,0.927,291.93423,48.141651,15.347
10797460,K00752.02,Kepler-227 c,2,1,0.969,54.4183827,162.51384,0.586,4.507,874.8,2.83,443.0,9.11,25.8,2.0,q1_q17_dr25_tce,5455.0,4.467,0.927,291.93423,48.141651,15.347
10811496,K00753.01,,1,1,0.0,19.89913995,175.850252,0.969,1.7822,10829.0,14.6,638.0,39.3,76.3,1.0,q1_q17_dr25_tce,5853.0,4.544,0.868,297.00482,48.134129,15.436
10854555,K00755.01,Kepler-664 b,2,1,1.0,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406.0,926.16,40.9,1.0,q1_q17_dr25_tce,6031.0,4.438,1.046,288.75488,48.2262,15.509
10872983,K00756.01,Kepler-228 d,2,1,1.0,11.09432054,171.20116,0.538,4.5945,1517.5,3.9,835.0,114.81,66.5,1.0,q1_q17_dr25_tce,6046.0,4.486,0.972,296.28613,48.22467,15.714
10872983,K00756.02,Kepler-228 c,2,1,1.0,4.13443512,172.97937,0.762,3.1402,686.0,2.77,1160.0,427.65,40.2,2.0,q1_q17_dr25_tce,6046.0,4.486,0.972,296.28613,48.22467,15.714
10872983,K00756.03,Kepler-228 b,2,1,0.992,2.56658897,179.55437,0.755,2.429,226.5,1.59,1360.0,807.74,15.0,3.0,q1_q17_dr25_tce,6046.0,4.486,0.972,296.28613,48.22467,15.714
10910878,K00757.01,Kepler-229 c,2,1,1.0,16.06864674,173.621937,0.052,3.5347,4914.3,5.76,600.0,30.75,161.9,1.0,q1_q17_dr25_tce,5031.0,4.485,0.848,286.99948,48.37579,15.841
11446443,K00001.01,Kepler-1 b,2,1,0.811,2.470613377,122.763305,0.818,1.74319,14231.0,13.04,1339.0,761.46,4304.3,1.0,q1_q17_dr25_tce,5820.0,4.457,0.964,286.80847,49.316399,11.338
6922244,K00010.01,Kepler-8 b,2,1,0.998,3.522498429,121.1194228,0.631,3.19843,9145.7,14.59,1521.0,1264.67,1741.5,1.0,q1_q17_dr25_tce,6225.0,4.169,1.451,281.28812,42.45108,13.563
10984090,K00112.02,Kepler-466 c,2,1,1.0,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206.0,500.46,50.6,2.0,q1_q17_dr25_tce,5833.0,4.407,1.022,295.64871,48.49556,12.772
10526549,K00746.01,Kepler-660 b,2,1,1.0,9.27358173,173.258155,0.387,3.2875,1288.3,2.47,649.0,41.85,87.2,1.0,q1_q17_dr25_tce,4856.0,4.583,0.696,288.13824,47.724449,15.302
10583066,K00747.01,Kepler-661 b,2,1,1.0,6.02930329,171.602959,0.258,1.5821,1912.7,2.85,678.0,50.04,65.4,1.0,q1_q17_dr25_tce,4537.0,4.648,0.672,283.71088,47.86327,15.784
10601284,K00749.01,Kepler-226 c,2,1,1.0,5.349553819,171.80694,0.092,3.0278,831.0,2.55,919.0,168.99,60.6,1.0,q1_q17_dr25_tce,5185.0,4.44,0.91,292.37613,47.880989,15.416
10601284,K00749.02,Kepler-226 b,2,1,0.98,3.94105221,136.08662,0.226,2.5984,363.3,1.7,1018.0,253.15,28.9,2.0,q1_q17_dr25_tce,5185.0,4.44,0.91,292.37613,47.880989,15.416
10601284,K00749.03,Kepler-226 d,2,1,0.971,8.10904807,132.8031,0.025,3.596,217.4,1.3,800.0,97.03,14.1,3.0,q1_q17_dr25_tce,5185.0,4.44,0.91,292.37613,47.880989,15.416
10662202,K00750.01,Kepler-662 b,2,1,1.0,21.67699193,171.53594,0.896,3.4555,857.2,2.95,530.0,18.64,34.3,1.0,q1_q17_dr25_tce,4954.0,4.5,0.828,290.46512,47.92918,15.377
10682541,K00751.01,Kepler-663 b,2,1,1.0,4.99677968,171.74208,0.71,2.1717,934.7,2.78,917.0,166.95,28.2,1.0,q1_q17_dr25_tce,5339.0,4.552,0.847,297.80826,47.946671,15.861
11460018,K00769.01,Kepler-671 b,2,1,1.0,4.280963604,171.89659,0.424,2.875,750.8,2.3,1012.0,247.87,61.8,1.0,q1_q17_dr25_tce,5644.0,4.564,0.831,294.26581,49.314091,15.356
11507101,K00773.01,Kepler-672 b,2,1,1.0,38.3775486,172.82048,0.468,5.588,724.2,2.82,529.0,18.53,34.7,1.0,q1_q17_dr25_tce,5481.0,4.369,1.036,291.72202,49.480869,15.172
10910878,K00757.02,Kepler-229 d,2,1,0.992,41.19725502,165.00404,0.045,4.6297,2213.9,3.86,439.0,8.76,51.2,2.0,q1_q17_dr25_tce,5031.0,4.485,0.848,286.99948,48.37579,15.841
10910878,K00757.03,Kepler-229 b,2,1,1.0,6.252962249,171.30126,0.105,2.5819,1036.9,2.65,823.0,108.3,47.1,3.0,q1_q17_dr25_tce,5031.0,4.485,0.848,286.99948,48.37579,15.841
10987985,K00758.01,Kepler-665 b,2,1,1.0,16.01308419,176.3608,0.799,3.2554,1121.9,3.1,593.0,29.31,33.2,1.0,q1_q17_dr25_tce,5015.0,4.499,0.826,297.02563,48.478588,15.39
11018648,K00759.01,Kepler-230 b,2,1,1.0,32.62876672,194.1019,0.021,4.7971,1804.8,3.36,506.0,15.55,80.0,1.0,q1_q17_dr25_tce,5586.0,4.56,0.798,285.71854,48.505859,15.082
11018648,K00759.02,Kepler-230 c,2,1,0.978,91.7732862,193.8378,0.606,6.473,652.0,2.12,359.0,3.92,19.1,2.0,q1_q17_dr25_tce,5586.0,4.56,0.798,285.71854,48.505859,15.082
11138155,K00760.01,Kepler-1976 b,2,1,1.0,4.959319244,172.2585292,0.831,2.22739,9802.0,12.21,1103.0,349.4,696.5,1.0,q1_q17_dr25_tce,5712.0,4.359,1.082,292.16705,48.727589,15.263
11153539,K00762.01,Kepler-666 b,2,1,1.0,4.49876511,171.34905,0.312,3.7362,460.0,2.1,1133.0,389.62,29.5,1.0,q1_q17_dr25_tce,6075.0,4.486,0.969,298.45685,48.791592,15.395
9579641,K00115.01,Kepler-105 b,2,1,1.0,5.412203927,133.143089,0.787,2.9472,601.6,2.94,1093.0,337.68,166.7,1.0,q1_q17_dr25_tce,5779.0,4.339,1.087,287.88733,46.276241,12.791
11304958,K00764.01,Kepler-667 b,2,1,0.998,41.43958662,208.93203,0.355,10.5989,2793.1,5.5,516.0,16.72,141.1,1.0,q1_q17_dr25_tce,5468.0,4.367,1.046,295.55505,49.017342,15.4
11391957,K00765.01,Kepler-668 b,2,1,1.0,8.35389523,171.63257,0.023,2.2514,1041.6,2.52,790.0,91.9,43.4,1.0,q1_q17_dr25_tce,5592.0,4.582,0.787,285.49924,49.277351,15.317
11403044,K00766.01,Kepler-669 b,2,1,1.0,4.125543472,169.752585,0.597,3.1744,1487.3,4.43,1243.0,565.35,128.6,1.0,q1_q17_dr25_tce,6174.0,4.417,1.103,291.93616,49.253979,15.506
11414511,K00767.01,Kepler-670 b,2,1,1.0,2.816504904,170.9676846,0.105,2.50587,16814.0,12.21,1219.0,521.13,1406.8,1.0,q1_q17_dr25_tce,5532.0,4.452,0.955,297.01547,49.225288,15.052
12110942,K00786.01,Kepler-680 b,2,1,1.0,3.689920099,170.36571,0.151,2.6557,426.7,1.89,1147.0,408.99,35.6,1.0,q1_q17_dr25_tce,5880.0,4.518,0.917,291.62241,50.61824,15.242
12366084,K00787.01,Kepler-232 b,2,1,1.0,4.431238488,171.015,0.405,3.15,1010.9,3.25,1104.0,351.23,71.1,1.0,q1_q17_dr25_tce,5714.0,4.428,1.015,295.81616,51.121738,15.367
12366084,K00787.02,Kepler-232 c,2,1,1.0,11.37936986,133.84992,0.911,2.6255,1023.5,3.95,806.0,99.68,37.9,2.0,q1_q17_dr25_tce,5714.0,4.428,1.015,295.81616,51.121738,15.367
12404086,K00788.01,Kepler-681 b,2,1,1.0,26.39432897,176.05459,0.602,3.573,1510.9,3.07,489.0,13.49,48.2,1.0,q1_q17_dr25_tce,5129.0,4.595,0.763,289.39972,51.25032,15.234
8395660,K00116.01,Kepler-106 c,2,1,1.0,13.57078281,136.279194,0.866,3.3539,511.7,2.64,785.0,89.61,88.4,1.0,q1_q17_dr25_tce,5854.0,4.406,1.012,300.86398,44.337551,12.882
9579641,K00115.02,Kepler-105 c,2,1,1.0,7.12594387,139.00492,0.898,3.0014,192.4,1.79,997.0,233.31,47.1,2.0,q1_q17_dr25_tce,5779.0,4.339,1.087,287.88733,46.276241,12.791
11754553,K00775.01,Kepler-52 c,2,1,1.0,16.38489988,172.72782,0.001,3.0249,1127.1,2.0,433.0,8.35,28.9,2.0,q1_q17_dr25_tce,4126.0,4.661,0.615,286.73804,49.97575,15.095
11754553,K00775.02,Kepler-52 b,2,1,1.0,7.8774163,176.3759,0.041,2.0805,1306.1,2.16,553.0,22.18,38.7,1.0,q1_q17_dr25_tce,4126.0,4.661,0.615,286.73804,49.97575,15.095
11754553,K00775.03,Kepler-52 d,2,1,1.0,36.4454001,151.60125,0.028,4.007,1122.3,1.99,332.0,2.88,21.7,3.0,q1_q17_dr25_tce,4126.0,4.661,0.615,286.73804,49.97575,15.095
11812062,K00776.01,Kepler-673 b,2,1,1.0,3.728732147,171.793255,0.558,2.683,5226.5,6.02,1023.0,258.34,345.2,1.0,q1_q17_dr25_tce,5497.0,4.577,0.809,290.78574,50.054119,15.523
11818800,K00777.01,,1,1,0.999,40.4195037,173.56469,0.911,3.362,6256.0,7.51,467.0,11.29,36.9,1.0,q1_q17_dr25_tce,5446.0,4.507,0.781,294.31686,50.080231,15.487
11853255,K00778.01,Kepler-674 b,2,1,1.0,2.243380573,170.679233,0.915,1.1196,821.7,1.99,822.0,107.6,38.9,1.0,q1_q17_dr25_tce,4149.0,4.698,0.564,285.17621,50.149818,15.135
11918099,K00780.01,Kepler-675 b,2,1,1.0,2.337437946,171.761982,0.28,1.9982,971.2,2.34,1070.0,311.16,82.4,1.0,q1_q17_dr25_tce,5005.0,4.595,0.765,293.83331,50.23035,15.334
11918099,K00780.02,,1,1,0.993,7.2406612,137.75545,1.198,0.558,556.4,19.45,734.0,68.63,13.7,2.0,q1_q17_dr25_tce,5005.0,4.595,0.765,293.83331,50.23035,15.334
9579641,K00115.03,,1,1,0.871,3.43591631,132.6624,0.624,3.133,23.2,0.55,1272.0,617.61,8.7,3.0,q1_q17_dr25_tce,5779.0,4.339,1.087,287.88733,46.276241,12.791
